resort,observation_date,region,reach,question,treatment,transect,dist,plot_id,species_code,browse,percent_cover,datasheet_page,notes,scientific_name,common_name,vegetation_type,beaver_preference,x,percent_cover_num,circle_name,observation_date.only
1,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,LYAM,no,5,p1_front,NA,Lysichiton americanus,skunk cabbage,NA,NA,NA,5,B020,2022-09-27
2,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,TSHE,no,40,p1_front,NA,Tsuga heterophylla,western hemlock,tree,NA,NA,40,B020,2022-09-27
3,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,CIAL,no,2,p1_front,NA,Circaea alpina,alpine enchanter's nightshade,NA,NA,NA,2,B020,2022-09-27
4,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,ATFE,no,20,p1_front,NA,Athyrium filix-femina,lady fern,NA,NA,NA,20,B020,2022-09-27
5,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,GYDI,no,20,p1_front,NA,Gymnocarpium disjunctum,oak fern,NA,NA,NA,20,B020,2022-09-27
6,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,TITR,no,10,p1_front,NA,Tiarella trifoliata,foam flower,NA,NA,NA,10,B020,2022-09-27
7,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,STSP,no,3,p1_front,NA,Struthiopteris spicant,deer fern,NA,NA,NA,3,B020,2022-09-27
8,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,THPL,no,10,p1_front,NA,Thuja plicata,western redcedar,tree,NA,NA,10,B020,2022-09-27
9,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,POMU,no,3,p1_front,NA,Polystichum munitum,sword fern,NA,NA,NA,3,B020,2022-09-27
10,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,GOOB,no,1,p1_front,NA,Goodyera oblongifolia,rattlesnake plantain,NA,NA,NA,1,B020,2022-09-27
11,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,MOUN,no,trace,p1_front,NA,Monotropa uniflora,ghost pipe,NA,NA,NA,0.5,B020,2022-09-27
12,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,VAPA,no,1,p1_front,NA,Vaccinium parvifolium,red huckleberry,NA,NA,NA,1,B020,2022-09-27
13,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,CLSI,no,trace,p1_front,NA,Claytonia sibirica,miners lettuce or candy flower,NA,NA,NA,0.5,B020,2022-09-27
14,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,MAST,no,1,p1_front,NA,Maianthemum stellatum,star-flowered Solomon's seal,NA,NA,NA,1,B020,2022-09-27
