plot_id,species_code,dbh_inches,sapling_count,datasheet_page,scientific_name,common_name,vegetation_type,beaver_preference,circle_name,dbh_inches_num
CCNWTB020,TSHE,28.3,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,B020,28.3
CCNWTB020,TSHE,sapling,1,NA,Tsuga heterophylla,western hemlock,tree,NA,B020,0.25
CCNWTB020,THPL,33.4,NA,NA,Thuja plicata,western redcedar,tree,NA,B020,33.4
CCNWTB020,ABAM,13.4,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,B020,13.4
CCNWTB075,TSHE,9.1999999999999993,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,B075,9.2
CCNWTB075,TSHE,32.700000000000003,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,B075,32.7
CCNWTB075,ABAM,20.5,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,B075,20.5
CCNWTB075,PSME,46.5,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,B075,46.5
CCNWTB075,PSME,36.5,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,B075,36.5
CCNWTB130,PSME,31,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,B130,31
CCNWTB130,PSME,16.600000000000001,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,B130,16.6
CCNWTB130,TABR,7,NA,NA,Taxus brevifolia,Pacific yew,tree,NA,B130,7
CCNWTB130,ABAM,8,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,B130,8
CCNWTB130,ABAM,7,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,B130,7
CCEBCG020,TSHE,26.1,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,G020,26.1
CCEBCG020,THPL,17.600000000000001,NA,NA,Thuja plicata,western redcedar,tree,NA,G020,17.6
CCEBCG020,THPL,5,NA,NA,Thuja plicata,western redcedar,tree,NA,G020,5
CCEBCG075,TSHE,0.75,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,G075,0.75
CCEBCG075,PSME,48.7,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,G075,48.7
CCEBCG130,TABR,sapling,1,NA,Taxus brevifolia,Pacific yew,tree,NA,G130,0.25
CCEBCG130,TSHE,12,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,G130,12
CCEBCG130,TSHE,9.6999999999999993,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,G130,9.7
CCEBCG130,PSME,10,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,G130,10
CCEBCH020,THPL,38.299999999999997,NA,NA,Thuja plicata,western redcedar,tree,NA,H020,38.3
CCEBCH020,THPL,28.5,NA,NA,Thuja plicata,western redcedar,tree,NA,H020,28.5
CCEBCH075,PSME,31.7,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,H075,31.7
CCEBCH075,TSHE,sapling,1,NA,Tsuga heterophylla,western hemlock,tree,NA,H075,0.25
CCEBCH130,TSHE,sapling,1,NA,Tsuga heterophylla,western hemlock,tree,NA,H130,0.25
CCEBCH130,TSHE,sapling,1,NA,Tsuga heterophylla,western hemlock,tree,NA,H130,0.25
CCNWTA020,TSHE,3,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,A020,3
CCNWTA020,TSHE,1,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,A020,1
CCNWTA020,THPL,38.5,NA,NA,Thuja plicata,western redcedar,tree,NA,A020,38.5
CCNWTA075,PSME,42,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,A075,42
CCNWTA075,ABAM,5,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,A075,5
CCNWTA130,TSHE,5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,A130,5
CCNWTA130,THPL,15,NA,NA,Thuja plicata,western redcedar,tree,NA,A130,15
CCEBCE075,TSHE,27,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E075,27
CCEBCE075,TSHE,3,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E075,3
CCEBCE130,PSME,37,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,E130,37
CCEBCE130,THPL,13.7,NA,NA,Thuja plicata,western redcedar,tree,NA,E130,13.7
CCEBCE130,TSHE,1,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E130,1
CCEBCE130,TSHE,2,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E130,2
CCEBCE130,TSHE,sapling,1,NA,Tsuga heterophylla,western hemlock,tree,NA,E130,0.25
CCEBCF020,TSHE,sapling,1,NA,Tsuga heterophylla,western hemlock,tree,NA,F020,0.25
CCEBCF020,TSHE,34.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F020,34.5
CCEBCF075,ALRU,sapling,1,NA,Alnus rubra,red alder,tree,NA,F075,0.25
CCEBCF075,THPL,sapling,1,NA,Thuja plicata,western redcedar,tree,NA,F075,0.25
CCEBCF075,TSHE,31.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F075,31.5
CCEBCF130,PSME,37.5,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,F130,37.5
CCEBCF130,PSME,49.3,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,F130,49.3
CCEBCF130,TSHE,0.75,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F130,0.75
CCEBCF130,TSHE,0.75,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F130,0.75
CCEBCF130,TSHE,5.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F130,5.5
CCEBCF130,TSHE,3.8,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F130,3.8
CCEBCF130,TSHE,1.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F130,1.5
CCEBCF130,TSHE,1.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F130,1.5
CCEBCF130,TSHE,6,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F130,6
CCEBCF130,TSHE,30,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F130,30
CCEBCF130,TSHE,4,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F130,4
CCEBTC020,ALRU,14,NA,NA,Alnus rubra,red alder,tree,NA,C020,14
CCEBTC020,ALRU,14.5,NA,NA,Alnus rubra,red alder,tree,NA,C020,14.5
CCEBTC075,ABAM,18,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,C075,18
CCEBTC075,ABAM,7.7,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,C075,7.7
CCEBTC075,ABAM,22,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,C075,22
CCEBTC075,PISI,5,NA,NA,Picea sitchensis,sitka spruce,tree,NA,C075,5
CCEBTC075,TSHE,7.9,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,C075,7.9
CCEBTC075,TSHE,7.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,C075,7.5
CCEBTC130,ABAM,19.100000000000001,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,C130,19.1
CCEBTC130,ALRU,8,NA,NA,Alnus rubra,red alder,tree,NA,C130,8
CCEBTC130,TSHE,4.9000000000000004,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,C130,4.9
CCEBTC130,TSHE,11.3,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,C130,11.3
