species_code,freq,scientific_name,common_name,vegetation_type,beaver_preference,observation_date,papersheet_ID
ABAM,15,Abies amabilis,Pacific silver fir,tree,NA,NA,NA
ACCI,13,Acer circinatum,vine maple,NA,NA,NA,NA
ACRU,1,Actaea rubra,red baneberry,NA,NA,NA,NA
ACTR,23,Achlys triphylla,vanilla leaf,NA,NA,NA,NA
ADAL,2,Adiantum aleuticum,maiden hair fern,NA,NA,NA,NA
ADBI,9,Adenocaulon bicolor,trail plant,NA,NA,NA,NA
ALRU,6,Alnus rubra,red alder,tree,NA,NA,NA
ARDI,1,Aruncus dioicus,goatsbeard,NA,NA,NA,NA
ATFE,36,Athyrium filix-femina,lady fern,NA,NA,NA,NA
BRVU,2,Bromus vulgaris,Columbia Brome,NA,NA,NA,NA
BRXXSP,4,Bromus sp.,Bromus species - grasses,NA,NA,NA,NA
CAHA,1,Carex Hendersonii,Henderson Sedge,NA,NA,NA,NA
CAXXSP,1,Carex sp.,carex sp - sedges,NA,NA,NA,NA
CHUM,3,Chimaphyla umbellata,pipsissewa,NA,NA,NA,NA
CIAL,18,Circaea alpina,alpine enchanter's nightshade,NA,NA,NA,NA
CLSI,11,Claytonia sibirica,miners lettuce or candy flower,NA,NA,NA,NA
CLUN,13,Clintonia uniflora,queens cups,NA,NA,NA,NA
COSC,19,Corydalis scouleri,corydalis,NA,NA,NA,NA
COUN,12,Cornus unalaschkensis,bunchberry,NA,NA,NA,NA
DIFO,2,Dicentra formosa,bleeding heart,NA,NA,NA,NA
DREX,2,Dryopteris expansa,spreading wood fern,NA,NA,NA,NA
DRRG,10,Dryopteris arguta,wood fern,NA,NA,NA,NA
EPCI,1,Epilobium ciliatum,Epilobium?,NA,NA,NA,NA
EQXXSP,8,Equisetum sp.,horsetail species,NA,NA,NA,NA
FRPU,1,Frangula purshiana,cascara,NA,NA,NA,NA
GASH,5,Gaultheria shallon,salal,NA,NA,NA,NA
GATR,20,Galium triflorum,galium,NA,NA,NA,NA
GLXXSP,1,Glyceria sp.,glyciria species,NA,NA,NA,NA
GOOB,23,Goodyera oblongifolia,rattlesnake plantain,NA,NA,NA,NA
GYDI,28,Gymnocarpium disjunctum,oak fern,NA,NA,NA,NA
HILA,3,Hieracium lachenalii,common hawkweed,NA,NA,NA,NA
HUMI,1,Huechera micrantha,crevice alumroot,NA,NA,NA,NA
HYTE,16,Hydrophyllum tenuipes,Pacific waterleaf,NA,NA,NA,NA
LUPA,3,Luzula parviflora,small-flowered woodrush,NA,NA,NA,NA
LYAM,17,Lysichiton americanus,skunk cabbage,NA,NA,NA,NA
MADI,27,Maianthemum dilatatum,false lily of the valley,NA,NA,NA,NA
MANE,14,Mahonia nervosa ,low oregon grape,NA,NA,NA,NA
MARA,2,Maianthemum racemosum,false Soloman's seal,NA,NA,NA,NA
MAST,26,Maianthemum stellatum,star-flowered Solomon's seal,NA,NA,NA,NA
MOUN,2,Monotropa uniflora,ghost pipe,NA,NA,NA,NA
MYMU,7,Mycelis muralis,wall lettuce,NA,NA,NA,NA
OPHO,44,Oplopanax horridus,devil's club,NA,NA,NA,NA
OXTR,5,Oxalis trilliifolia,trillium-leaved oxalis,NA,NA,NA,NA
PEPA,1,Petasites palmatus,western coltsfoot,NA,NA,NA,NA
PISI,1,Picea sitchensis,sitka spruce,tree,NA,NA,NA
POGL,2,Polypodium glycyrrhiza,licorice fern,NA,NA,NA,NA
POMU,45,Polystichum munitum,sword fern,NA,NA,NA,NA
PRHO,10,Prosartes hookeri,Hooker's fairy bell,NA,NA,NA,NA
PSME,30,Pseudotsuga menziesii,Douglas fir,tree,NA,NA,NA
PTAQ,1,Pteridium aquilinum,bracken fern,NA,NA,NA,NA
RHME,27,Rhododendron menziesii,false azalea or azalea,NA,NA,NA,NA
RIBR,17,Ribes bracteosum,stink currant,NA,NA,NA,NA
ROGY,5,Rosa gymnocarpa,Rosa gymnocarpa?,NA,NA,NA,NA
RULE,1,Rubus leucodermis ,blackcap raspberry,NA,NA,NA,NA
RUPA,7,Rubus parviflorus,thimbleberry,NA,NA,NA,NA
RUPE,10,Rubus pedatus,creeping raspberry,shrub,NA,NA,NA
RUSP,21,Rubus spectabilis,salmonberry,NA,preferred,NA,NA
RUUR,13,Rubus ursinus,trailing blackberry,NA,NA,NA,NA
SARA,15,Sambucus racemosa,red elderberry,NA,highly preferred,NA,NA
SCMI,1,Scirpus microcarpus,small fruited bulrush,NA,NA,NA,NA
STCO,5,Stachys cooleyae,Cooley's Hedge-nettle,NA,NA,NA,NA
STSP,37,Struthiopteris spicant,deer fern,NA,NA,NA,NA
TABR,2,Taxus brevifolia,Pacific yew,tree,NA,NA,NA
THPL,17,Thuja plicata,western redcedar,tree,NA,NA,NA
TITR,45,Tiarella trifoliata,foam flower,NA,NA,NA,NA
TOME,24,Tolmiea menziesii,piggyback plant,NA,NA,NA,NA
TROV,17,Trillium ovatum,trillium,NA,NA,NA,NA
TSHE,40,Tsuga heterophylla,western hemlock,tree,NA,NA,NA
VAPA,40,Vaccinium parvifolium,red huckleberry,NA,NA,NA,NA
VIXXSP,30,Viola sp.,violet species,NA,NA,NA,NA
mitella thing,4,mitella thing,mitella thing,NA,NA,NA,NA
wild ginger,4,NA,NA,NA,NA,NA,NA
