species_code,freq,scientific_name,common_name,vegetation_type,beaver_preference,observation_date,papersheet_id
ABAM,25,Abies amabilis,Pacific silver fir,tree,NA,NA,NA
ACCI,26,Acer circinatum,vine maple,NA,NA,NA,NA
ACEL,1,Actaea elata,bugbane,NA,NA,NA,NA
ACRU,3,Actaea rubra,red baneberry,NA,NA,NA,NA
ACTR,33,Achlys triphylla,vanilla leaf,NA,NA,NA,NA
ADAL,4,Adiantum aleuticum,maiden hair fern,NA,NA,NA,NA
ADBI,16,Adenocaulon bicolor,trail plant or pathfinder,NA,NA,NA,NA
ALRU,12,Alnus rubra,red alder,tree,NA,NA,NA
ANGE,1,Angelica genuflexa,kneeling angelica,NA,NA,NA,NA
ARDI,1,Aruncus dioicus,goatsbeard,NA,NA,NA,NA
ASCA,7,Asaram caudatum,wild ginger,NA,NA,NA,NA
ATFE,76,Athyrium filix-femina,lady fern,NA,NA,NA,NA
BRVU,3,Bromus vulgaris,Columbia Brome,NA,NA,NA,NA
BRXXSP,4,Bromus sp.,Bromus species - grasses,NA,NA,NA,NA
CAHA,1,Carex Hendersonii,Henderson Sedge,NA,NA,NA,NA
CASC,1,Campanula scouleri,Scoulers hareball,NA,NA,NA,NA
CAXXSP,8,Carex sp.,sedge species,NA,NA,NA,NA
CHUM,3,Chimaphyla umbellata,pipsissewa,NA,NA,NA,NA
CIAL,30,Circaea alpina,alpine enchanter's nightshade,NA,NA,NA,NA
CIBR,1,Cirsium brevistylum ,short-styled thistle,NA,NA,NA,NA
CIDO,1,Cicuta douglasii,water hemlock,NA,NA,NA,NA
CLSI,14,Claytonia sibirica,miners lettuce or candy flower,NA,NA,NA,NA
CLUN,23,Clintonia uniflora,queens cups,NA,NA,NA,NA
COSC,30,Corydalis scouleri,corydalis,NA,NA,NA,NA
COUN,24,Cornus unalaschkensis,bunchberry,NA,NA,NA,NA
DIFO,2,Dicentra formosa,bleeding heart,NA,NA,NA,NA
DRAR,9,Dryopteris arguta,wood fern,NA,NA,NA,NA
DREX,34,Dryopteris expansa,spreading wood fern,NA,NA,NA,NA
EPCI,1,Epilobium ciliatum,Epilobium?,NA,NA,NA,NA
EQXXSP,11,Equisetum sp.,horsetail species,NA,NA,NA,NA
FRPU,1,Frangula purshiana,cascara,NA,NA,NA,NA
GASH,10,Gaultheria shallon,salal,NA,NA,NA,NA
GATR,43,Galium triflorum,galium,NA,NA,NA,NA
GERO,1,Geranium robertianum,herb robert,NA,NA,NA,NA
GLXXSP,1,Glyceria sp.,glyciria species,NA,NA,NA,NA
GOOB,34,Goodyera oblongifolia,rattlesnake plantain,NA,NA,NA,NA
GYDI,51,Gymnocarpium disjunctum,oak fern,NA,NA,NA,NA
HILA,4,Hieracium lachenalii,common hawkweed,NA,NA,NA,NA
HUMI,1,Huechera micrantha,crevice alumroot,NA,NA,NA,NA
HUOC,1,Huperzia occidentalis,Pacific clubmoss,NA,NA,NA,NA
HYTE,39,Hydrophyllum tenuipes,Pacific waterleaf,NA,NA,NA,NA
LIBO,2,Linnea borealis,twinflower,NA,NA,NA,NA
LUPA,5,Luzula parviflora,small-flowered woodrush,NA,NA,NA,NA
LYAM,37,Lysichiton americanus,skunk cabbage,NA,NA,NA,NA
MADI,61,Maianthemum dilatatum,false lily of the valley,NA,NA,NA,NA
MANE,18,Mahonia nervosa ,low oregon grape,NA,NA,NA,NA
MARA,2,Maianthemum racemosum,false Soloman's seal,NA,NA,NA,NA
MAST,38,Maianthemum stellatum,star-flowered Solomon's seal,NA,NA,NA,NA
MICA,18,Mitellastra caulescens,mitrewort,NA,NA,NA,NA
MOUN,6,Monotropa uniflora,ghost pipe,NA,NA,NA,NA
MYMU,8,Mycelis muralis,wall lettuce,NA,NA,NA,NA
OESA,3,Oenanthe sarmentosa,water parsley,NA,NA,NA,NA
OPHO,90,Oplopanax horridus,devil's club,NA,NA,NA,NA
OSBE,6,Osmorhiza berteroi,sweet-cicely,NA,NA,NA,NA
OXTR,5,Oxalis trilliifolia,trillium-leaved oxalis,NA,NA,NA,NA
PEFR,3,Petasites frigidus var. palmatus,western coltsfoot,NA,NA,NA,NA
PISI,2,Picea sitchensis,sitka spruce,tree,NA,NA,NA
POACAE,8,Poaceae,grass family,NA,NA,NA,NA
